# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:53:27.314
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.642447,-7.2350,6.0330,2.5570,9.76
3.661760,-7.2490,5.2000,3.5680,9.61
3.662004,-6.6080,4.8110,3.9730,9.09
3.682213,-5.6250,4.3370,4.4660,8.39
3.682449,-4.3830,3.5500,4.5130,7.22
3.709214,-3.5580,2.7330,4.7400,6.53
3.724684,-3.5900,1.4250,5.6950,6.88
3.743885,-2.4490,0.4450,5.4840,6.02
3.743988,-2.6830,0.1560,5.0120,5.69
3.764773,-3.3670,-0.3590,4.1620,5.37
3.764923,-4.3350,-1.3540,-1.7990,4.88
3.791119,-0.8860,-1.3610,7.0150,7.20
3.806590,-7.9410,-3.4340,6.6870,10.93
3.826056,1.0100,-2.7900,4.2870,5.21
3.826219,1.8070,0.1250,6.6750,6.92
3.846656,1.4550,2.4430,6.6310,7.21
3.846865,-1.3270,2.8680,5.1870,6.07
3.866683,-4.1470,2.5240,3.8970,6.23
3.866892,-3.8460,2.1170,3.3070,5.50
3.892744,-1.0220,1.3870,4.7490,5.05
3.909896,6.3120,0.7380,10.2080,12.02
3.927763,8.7290,-0.2380,11.0720,14.10
3.927847,6.7900,-0.9220,6.9380,9.75
3.947990,3.9510,-0.8300,1.6580,4.36
3.948101,1.3360,-0.9990,-2.5880,3.08
3.971183,-0.9360,-1.3410,-5.9600,6.18
3.971321,-2.0170,-1.4080,-7.6640,8.05
3.988370,-2.6840,-1.4920,-8.2710,8.82
3.988452,-2.9290,-1.9310,-9.4130,10.05
4.009790,-3.0860,-2.1520,-10.1530,10.83
4.009922,-4.4470,-1.9800,-10.1730,11.28
4.029707,-6.7660,-1.8210,-10.2670,12.43
4.029896,-7.8880,-1.7750,-10.1980,13.01
4.050517,-9.0200,-1.1110,-10.7040,14.04
4.050688,-7.9360,0.0200,-11.2770,13.79
4.075282,-6.1270,1.0020,-11.2850,12.88
4.091623,-3.9010,1.4630,-10.8600,11.63
4.111582,-4.2340,0.4230,-9.1570,10.10
4.111748,-3.7690,-0.2740,-8.6820,9.47
4.131818,-2.5260,-0.7550,-7.3110,7.77
4.132029,-1.2130,-2.1900,-4.7590,5.38
4.157719,-0.3400,-3.8090,-1.8090,4.23
4.176068,1.8120,-6.6010,3.9630,7.91
4.191752,3.6090,-5.2830,7.9830,10.23
4.191962,4.8180,-4.4390,8.9490,11.09
4.212979,6.9400,-4.5720,10.3030,13.24
4.213075,11.5260,-5.5690,11.6280,17.29
4.237653,14.5820,-6.8820,13.4190,20.98
4.237775,18.6870,-10.1430,19.7240,29.00
4.254071,20.7730,-11.5370,26.3290,35.47
4.254413,20.1390,-6.2700,29.4260,36.20
4.274462,16.9820,0.0510,27.9830,32.73
4.274579,11.7830,5.1570,22.8070,26.18
