# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:54:53.505
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.645837,-3.0540,2.4510,5.7570,6.96
3.666102,-2.2380,1.8990,4.3080,5.21
3.666294,-1.9820,0.8890,3.0480,3.74
3.692434,-1.8580,-0.4850,2.5530,3.19
3.707792,-2.1760,-2.2920,3.5250,4.73
3.726449,-2.1480,-2.6280,4.7800,5.86
3.726606,-1.8390,-2.4550,4.9910,5.86
3.746427,-1.4980,-2.7760,5.0380,5.94
3.746629,-1.0010,-3.9940,5.3580,6.76
3.766971,0.1910,-5.2600,6.0620,8.03
3.767102,1.7840,-7.2650,6.6750,10.03
3.791154,3.2350,-8.7830,7.4370,11.95
3.791421,4.5860,-10.2900,8.4820,14.10
3.809952,5.7090,-10.9710,9.7350,15.74
3.810153,6.5530,-10.9790,10.1520,16.33
3.829079,6.7310,-10.9800,9.0810,15.76
3.829287,6.0780,-11.6900,5.8820,14.43
3.850084,5.1630,-12.6640,0.7650,13.70
3.850245,4.7930,-13.9290,-4.9420,15.54
3.873972,4.8320,-13.8800,-8.9790,17.22
3.892658,4.8040,-9.7440,-10.7390,15.28
3.910404,3.7100,-2.8500,-9.1840,10.31
3.910561,2.5310,1.2000,-8.0730,8.55
3.931450,0.4390,4.4150,-7.1580,8.42
3.931655,-2.6150,4.5720,-7.0900,8.83
3.957215,-5.5630,3.4160,-7.8530,10.21
3.974538,-2.4740,3.5090,-11.8040,12.56
3.991597,1.8130,6.9360,-12.7480,14.63
3.991690,1.9140,9.8070,-11.8680,15.51
4.012168,-0.3470,12.4190,-9.7050,15.77
4.012363,-3.6520,13.9060,-7.5550,16.24
4.032252,-5.5330,14.9060,-5.8660,16.95
4.032313,-4.8050,14.1680,-4.7710,15.70
4.055743,-2.6700,12.3740,-4.0140,13.28
4.055835,-1.0770,11.4950,-3.4320,12.04
4.073884,-0.1330,10.4080,-3.4270,10.96
4.074019,0.7700,9.7320,-4.1420,10.60
4.094274,1.8800,8.6760,-4.9930,10.19
4.094366,2.9980,7.4140,-5.2300,9.56
4.115339,3.3410,6.3100,-5.3830,8.94
4.115515,2.4620,5.2460,-5.4800,7.98
4.140981,0.1740,3.4900,-5.2100,6.27
4.158095,-3.6610,0.0870,-2.9970,4.73
4.176386,-3.2310,-3.9220,-0.0450,5.08
4.176516,-2.1520,-6.2440,1.9800,6.89
4.198179,-1.3510,-8.8200,3.9480,9.76
4.198362,-0.6040,-11.1150,5.6940,12.50
4.223079,0.3200,-12.5540,8.5830,15.21
4.242185,2.1330,-11.6880,11.2930,16.39
4.257913,3.4610,-11.4520,10.0140,15.60
4.258072,3.5730,-9.0290,9.8520,13.83
4.276486,3.6070,-7.6470,8.7450,12.16
4.276663,3.6160,-7.0170,7.4850,10.88
4.296653,3.7430,-6.1640,6.5350,9.73
4.296801,3.0880,-4.9020,6.5270,8.73
4.323151,0.8330,-2.6840,6.9640,7.51
4.340846,-1.8600,2.0420,7.7870,8.26
4.359368,-2.3370,6.2940,7.0900,9.76
4.359540,-2.4250,7.3530,6.0630,9.83
4.379808,-2.4110,7.6190,4.9500,9.40
4.379973,-2.3710,7.8900,4.6970,9.48
4.406432,-2.4490,8.5530,4.9180,10.17
4.424604,-2.1760,8.0140,4.5500,9.47
4.441350,-2.2200,5.4550,3.6730,6.94
4.441508,-2.5980,3.9660,3.8410,6.10
4.461286,-3.2410,2.9600,4.8270,6.52
4.461484,-3.4720,2.7360,6.5430,7.90
4.481724,-3.3120,3.3700,8.4940,9.72
4.481895,-2.6910,4.1520,9.7830,10.96
4.505937,-1.9710,4.3730,9.8190,10.93
4.506089,-1.2450,3.9660,8.0120,9.03
4.523737,-0.3370,2.3530,4.4420,5.04
4.523941,0.3020,0.4010,0.0680,0.51
4.542628,0.6490,-1.5130,-4.0000,4.33
4.542870,0.9490,-3.5240,-6.5610,7.51
4.563472,1.1420,-5.1640,-7.1890,8.92
4.563661,1.3330,-6.9910,-7.2420,10.15
4.589353,1.8130,-9.1420,-7.4060,11.90
4.607273,3.3400,-13.7710,-9.7400,17.19
4.625311,5.7210,-16.0610,-11.9050,20.79
