# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:46:42.730
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.232140,1.1860,0.6830,-1.3360,1.91
3.232340,1.0310,0.7270,-1.2700,1.79
3.258689,0.8000,0.7210,-1.1900,1.60
3.276226,0.3310,0.4370,-1.1140,1.24
3.293555,0.1030,0.1650,-0.8930,0.91
3.293725,-0.1370,0.3330,-0.8120,0.89
3.314271,-0.4100,0.4960,-0.7260,0.97
3.314518,1.7170,0.5480,0.4510,1.86
3.341650,0.8410,0.7930,0.4140,1.23
3.357347,-3.5160,-0.4990,-1.1260,3.73
3.375383,-0.7240,0.3280,0.1200,0.80
3.375535,-2.0270,0.3410,-0.7600,2.19
3.395550,-2.6290,0.9770,-0.7880,2.91
3.395714,-3.3140,0.9890,-0.7370,3.54
3.415218,-3.2470,0.2120,-0.5070,3.29
3.415345,-1.7410,-0.0610,0.1280,1.75
3.440003,1.8190,-0.0720,1.4520,2.33
3.440172,2.5290,-0.0990,1.1520,2.78
3.457870,2.9310,-0.0260,1.0230,3.10
3.458042,2.6840,-0.1410,0.6900,2.77
3.475271,1.3500,-0.2490,0.2240,1.39
3.475417,-0.6270,-0.1090,-0.4670,0.79
3.495575,-1.9480,0.1360,-1.0110,2.20
3.495785,-2.3880,0.2080,-1.2360,2.70
3.517084,-1.7400,0.2600,-0.6340,1.87
3.517259,-0.1220,0.5860,-0.0130,0.60
3.542607,0.8880,0.3420,-0.0120,0.95
3.559909,0.4400,-0.5650,-0.4230,0.83
3.578661,0.4500,-0.5890,-0.3950,0.84
3.578866,0.4430,-0.3480,-0.2870,0.63
3.599264,0.5070,-0.2590,0.0320,0.57
3.599449,0.6910,-0.3110,0.3870,0.85
3.625407,0.9280,-0.6800,0.9250,1.48
3.641923,0.3970,-0.4260,1.1670,1.30
3.660207,-0.0250,-0.1880,1.0150,1.03
3.660360,0.3510,-0.3210,0.9360,1.05
3.680738,0.7540,-0.3740,0.9060,1.24
3.680961,0.9670,-0.5250,0.8490,1.39
3.707641,1.0570,-0.7190,0.5600,1.40
3.723857,1.2410,-0.5070,-0.1370,1.35
3.741646,0.4660,0.4130,-0.5910,0.86
3.741825,0.6060,0.2940,-0.7130,0.98
3.762150,0.8050,0.1720,-0.8840,1.21
3.762423,0.8160,0.1360,-0.9080,1.23
3.783005,0.6990,0.0680,-0.8840,1.13
3.783207,0.3750,0.1180,-0.9560,1.03
3.807172,0.0240,0.4410,-0.9680,1.06
3.807412,-0.5720,0.8580,-0.9460,1.40
3.824826,-0.8840,1.0680,-0.8800,1.64
3.824987,-0.9720,0.8140,-0.3340,1.31
3.843786,-1.4460,0.3500,0.2450,1.51
3.843972,-1.8310,-0.1730,0.7340,1.98
3.865152,-5.3010,2.2530,3.1200,6.55
